config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,mixed_sload_sstore,37,64396,100000000,1,180.2818,3086.0205,0.0619,18.8005,3285.2399,30.4392,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2092,21326,8.93,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,38,64397,106226,2,0.0603,0.1182,0.9284,0.5145,1.6795,63.2493,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,38,64398,100000000,1,181.969,3336.6827,0.0793,14.6416,3533.491,28.3006,8,23418,2,1493,2,0,0,0,0,0,4,4,50,2595,20823,11.08,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,39,64399,106226,2,0.1458,0.0816,0.9494,0.6439,1.8872,56.2874,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,39,64400,100000000,1,174.1819,3020.2146,0.0715,18.2577,3212.803,31.1255,8,23418,2,1493,2,0,0,0,0,0,4,4,50,2353,21065,10.05,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,40,64401,106226,2,0.0607,0.1051,0.3051,0.6804,1.2113,87.6941,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,40,64402,100000000,1,180.4688,3121.4171,0.0815,18.018,3320.0782,30.1198,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2537,20881,10.83,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,41,64403,106226,2,0.1205,0.3627,0.1803,0.3729,1.1442,92.8359,11,0,0,0,3,0,0,0,1,149,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,41,64404,100000000,1,180.4044,3143.729,0.0716,13.2453,3337.5717,29.9619,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2455,20963,10.48,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,42,64405,106226,2,0.1044,0.0884,0.8583,0.519,1.6142,65.8092,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
