config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,erc20_balanceof,19,64046,100000000,1,278.2411,5212.7278,0.0718,30.0507,5521.1732,18.1121,8,36742,2,1416,2,0,0,0,0,0,4,4,50,2243,34499,6.1,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,20,64047,0,0,0.018,0.0546,0.0175,0.055,0.1815,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,20,64048,89662,2,0.0434,0.0961,1.1117,3.6522,4.9402,18.1494,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,20,64049,100000000,1,275.3592,4953.4815,0.0755,27.7049,5256.6968,19.0234,8,36742,2,1416,2,0,0,0,0,0,4,4,50,1937,34805,5.27,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,21,64050,0,0,0.0099,0.0566,0.009,0.0524,0.1671,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,21,64051,89662,2,0.0415,0.0727,0.664,3.6045,4.4142,20.3123,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,21,64052,100000000,1,277.0587,5169.5398,0.0568,28.8738,5475.5945,18.2629,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,1950,34792,5.31,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,22,64053,0,0,0.0358,1.1234,0.0116,0.1748,1.4961,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,22,64054,89662,2,0.1291,0.0927,0.3202,3.3121,3.8895,23.0523,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,22,64055,100000000,1,254.7671,4979.9219,0.0653,24.6524,5259.5308,19.0131,8,36742,2,1416,2,0,0,0,0,0,4,4,50,2998,33744,8.16,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,23,64056,0,0,0.0377,1.3871,0.0156,0.1694,1.702,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,23,64057,89662,2,0.0702,0.1539,0.9678,4.3062,5.5557,16.1387,11,0,0,0,3,0,0,0,1,72,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,23,64058,100000000,1,272.4427,5032.0191,0.0588,28.9603,5333.5962,18.7491,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2681,34061,7.3,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,24,64059,0,0,0.0149,0.1338,0.0057,0.0701,0.2777,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,24,64060,89662,2,0.0387,0.0707,0.3369,5.1205,5.6043,15.9987,11,0,0,0,3,0,0,0,1,72,5,6,45.45,0,0,0,0,0,0,0,0
